집계일자,집계시,시작영업소코드,도착영업소코드,TCS차종구분코드,출발도착기준구분코드,통행시간,평활화전통행시간,평균속도,영업소간보정구분코드,교통량,유효교통량,통행시간표준편차,통행시간변동계수,통행시간최대값,통행시간중위값,통행시간최소값,퍼센타일15_85통행시간,최종변경시각,시작영업소이름,시작도로이름,도착영업소이름,도착도로이름
20210624,00,626 ,624 ,1,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210624021327,남밀양,대구-부산선,청도,대구-부산선
20210624,00,627 ,624 ,1,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210624021327,삼랑진,대구-부산선,청도,대구-부산선
20210624,00,770 ,747 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,울주동JC,함양울산선,범서,동해선
20210624,00,101 ,748 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,서울,경부선,동청송영양,당진상주선
20210624,00,190 ,748 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,동서울,중부선-대전통영선A,동청송영양,당진상주선
20210624,00,206 ,748 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,의성,중앙선,동청송영양,당진상주선
20210624,00,192 ,736 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,곤지암,중부선-대전통영선A,삼성,중부선-대전통영선A
20210624,00,194 ,736 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,서이천,중부선-대전통영선A,삼성,중부선-대전통영선A
20210624,00,212 ,736 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,북수원,영동선,삼성,중부선-대전통영선A
20210624,00,189 ,729 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,강릉,동해선,신둔,중부선-대전통영선A
20210624,00,533 ,749 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,보은,당진상주선,영덕,당진상주선
20210624,00,536 ,749 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,남상주,당진상주선,영덕,당진상주선
20210624,00,657 ,658 ,6,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,동산,서울춘천선,조양,서울춘천선
20210624,00,657 ,658 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,동산,서울춘천선,조양,서울춘천선
20210624,00,171 ,620 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,마성,영동선,영천JC,상주영천선
20210624,00,172 ,620 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,용인,영동선,영천JC,상주영천선
20210624,00,173 ,620 ,5,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210624021327,양지,영동선,영천JC,상주영천선
20210624,00,173 ,620 ,3,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,양지,영동선,영천JC,상주영천선
20210624,00,173 ,620 ,2,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,양지,영동선,영천JC,상주영천선
20210624,00,173 ,620 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,양지,영동선,영천JC,상주영천선
20210624,00,175 ,620 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,덕평,영동선,영천JC,상주영천선
20210624,00,176 ,620 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,이천,영동선,영천JC,상주영천선
20210624,00,178 ,620 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,문막,영동선,영천JC,상주영천선
20210624,00,182 ,620 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,둔내,영동선,영천JC,상주영천선
20210624,00,190 ,620 ,5,2,14627,14627,67.8,00,2,2,2032.93,0.13,16065,14627,13190,2012,20210624021327,동서울,중부선-대전통영선A,영천JC,상주영천선
20210624,00,190 ,620 ,4,2,14462,14462,68.58,00,3,3,2581.76,0.17,17022,14505,11859,3614,20210624021327,동서울,중부선-대전통영선A,영천JC,상주영천선
20210624,00,190 ,620 ,3,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,동서울,중부선-대전통영선A,영천JC,상주영천선
20210624,00,190 ,620 ,1,2,10810,10810,91.75,00,9,9,1799.63,0.16,14437,10482,8165,4390,20210624021327,동서울,중부선-대전통영선A,영천JC,상주영천선
20210624,00,192 ,620 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,곤지암,중부선-대전통영선A,영천JC,상주영천선
20210624,00,194 ,620 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,서이천,중부선-대전통영선A,영천JC,상주영천선
20210624,00,195 ,620 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,대소,중부선-대전통영선A,영천JC,상주영천선
20210624,00,198 ,620 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,서청주,중부선-대전통영선A,영천JC,상주영천선
20210624,00,203 ,620 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,가산,중앙선,영천JC,상주영천선
20210624,00,206 ,620 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,의성,중앙선,영천JC,상주영천선
20210624,00,207 ,620 ,1,2,-1,-1,-1,10,4,0,0,0,0,0,0,0,20210624021327,남안동,중앙선,영천JC,상주영천선
20210624,00,208 ,620 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,서안동,중앙선,영천JC,상주영천선
20210624,00,212 ,620 ,2,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,북수원,영동선,영천JC,상주영천선
20210624,00,212 ,620 ,1,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210624021327,북수원,영동선,영천JC,상주영천선
20210624,00,213 ,620 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,부곡,영동선,영천JC,상주영천선
20210624,00,215 ,620 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,군포,영동선,영천JC,상주영천선
20210624,00,760 ,650 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,기장서JC,부산외곽순환선,군위출구JC,상주영천선
20210624,00,174 ,651 ,6,2,2725,2725,95.01,00,1,1,0,0,2725,2725,2725,0,20210624021327,춘천,중앙선,남양주,서울춘천선
20210624,00,174 ,651 ,5,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,춘천,중앙선,남양주,서울춘천선
20210624,00,174 ,651 ,2,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,춘천,중앙선,남양주,서울춘천선
20210624,00,174 ,651 ,1,2,2506,2506,103.31,00,27,23,428.62,0.17,3820,2373,2104,1201,20210624021327,춘천,중앙선,남양주,서울춘천선
20210624,00,179 ,651 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,홍천,중앙선,남양주,서울춘천선
20210624,00,189 ,651 ,4,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,강릉,동해선,남양주,서울춘천선
20210624,00,189 ,651 ,3,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,강릉,동해선,남양주,서울춘천선
20210624,00,189 ,651 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,강릉,동해선,남양주,서울춘천선
20210624,00,132 ,643 ,2,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,영천,경부선,청량,부산울산선
20210624,00,510 ,652 ,6,2,6524,6524,74.96,00,2,2,0,0,6524,6524,6524,0,20210624021327,양양,동해선,화도,서울춘천선
20210624,00,510 ,652 ,1,2,6651,6651,73.53,00,6,6,1349.02,0.2,8811,6541,4838,2781,20210624021327,양양,동해선,화도,서울춘천선
20210624,00,710 ,624 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,밀양출구JC,함양울산선,청도,대구-부산선
20210624,00,115 ,625 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,대전,경부선,밀양,대구-부산선
20210624,00,126 ,625 ,6,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,왜관,경부선,밀양,대구-부산선
20210624,00,229 ,620 ,5,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210624021327,북천안,경부선,영천JC,상주영천선
20210624,00,229 ,620 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,북천안,경부선,영천JC,상주영천선
20210624,00,229 ,620 ,3,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,북천안,경부선,영천JC,상주영천선
20210624,00,229 ,620 ,2,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,북천안,경부선,영천JC,상주영천선
20210624,00,253 ,620 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,서서울,서해안선,영천JC,상주영천선
20210624,00,253 ,620 ,4,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210624021327,서서울,서해안선,영천JC,상주영천선
20210624,00,253 ,620 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,서서울,서해안선,영천JC,상주영천선
20210624,00,254 ,620 ,5,2,14453,14453,75.43,00,6,6,897.92,0.06,15439,14408,13159,1596,20210624021327,군자,영동선,영천JC,상주영천선
