AVC_ID,이정,등록일,노선번호,도로명,지역본부코드,지역본부명,지사코드,지사명,위도값,경도값,도로등급구분코드,도로등급구분명,장비소속구분코드,장비소속구분명,출력페이지번호,한페이지당출력건수
0010AV00100 ,8.30km,20110210,0010,경부선,700000,부산경남본부,710900,서울산지사,35.306760,129.074830,101,고속국도,00,본선,,
0010AV00150 ,16.50km,20130104,0010,경부선,700000,부산경남본부,710900,서울산지사,35.366470,129.047160,101,고속국도,00,본선,,
0010AV00200 ,27.50km,        ,0010,경부선,700000,부산경남본부,710900,서울산지사,35.458890,129.081700,101,고속국도,  ,,,
0010AV00240 ,39.10km,20110201,0010,경부선,700000,부산경남본부,710900,서울산지사,35.558070,129.126080,101,고속국도,  ,,,
0010AV00260 ,53.40km,20181206,0010,경부선,700000,부산경남본부,710900,서울산지사,35.679569,129.180024,101,고속국도,00,본선,,
0010AV00280 ,72.80km,20181206,0010,경부선,600000,대구경북본부,610200,대구지사,35.818274,129.140095,101,고속국도,00,본선,,
0010AV00300 ,107.31km,        ,0010,경부선,600000,대구경북본부,610200,대구지사,35.882250,128.849210,101,고속국도,  ,,,
0010AV00360 ,118.50km,20110201,0010,경부선,600000,대구경북본부,610200,대구지사,35.875190,128.730850,101,고속국도,  ,,,
0010AV00400 ,124.60km,        ,0010,경부선,600000,대구경북본부,610200,대구지사,35.901080,128.674700,101,고속국도,  ,,,
0010AV00450 ,130.50km,20110201,0010,경부선,600000,대구경북본부,610200,대구지사,35.916120,128.617630,101,고속국도,  ,,,
0010AV00500 ,135.70km,        ,0010,경부선,600000,대구경북본부,610200,대구지사,35.904700,128.561890,101,고속국도,  ,,,
0010AV00570 ,161.22km,20110201,0010,경부선,600000,대구경북본부,610100,구미지사,36.039010,128.411530,101,고속국도,  ,,,
0010AV00600 ,168.89km,        ,0010,경부선,600000,대구경북본부,610100,구미지사,36.077990,128.360010,101,고속국도,  ,,,
0010AV00620 ,188.02km,20121107,0010,경부선,600000,대구경북본부,610100,구미지사,36.158600,128.210850,101,고속국도,00,본선,,
0010AV00900 ,258.30km,        ,0010,경부선,400000,대전충남본부,410500,영동지사,36.309670,127.572490,101,고속국도,  ,,,
0010AV01000 ,269.50km,        ,0010,경부선,400000,대전충남본부,410200,대전지사,36.346900,127.470720,101,고속국도,  ,,,
0010AV01050 ,276.10km,20160106,0010,경부선,400000,대전충남본부,410200,대전지사,36.388980,127.423800,101,고속국도,00,본선,,
0010AV01140 ,295.30km,20110418,0010,경부선,400000,대전충남본부,410200,대전지사,36.553630,127.432100,101,고속국도,00,본선,,
0010AV01141 ,295.60km,20110420,0010,경부선,400000,대전충남본부,410200,대전지사,36.556320,127.432500,101,고속국도,00,본선,,
0010AV01150 ,297.90km,20121030,0010,경부선,400000,대전충남본부,410200,대전지사,36.576670,127.427790,101,고속국도,00,본선,,
0010AV01155 ,298.70km,20121030,0010,경부선,400000,대전충남본부,410200,대전지사,36.583860,127.427240,101,고속국도,00,본선,,
0010AV01160 ,301.90km,20110201,0010,경부선,400000,대전충남본부,410200,대전지사,36.606350,127.407910,101,고속국도,  ,,,
0010AV01200 ,306.80km,20131224,0010,경부선,400000,대전충남본부,410100,천안지사,36.640860,127.377820,101,고속국도,00,본선,,
0010AV01230 ,327.60km,20200109,0010,경부선,400000,대전충남본부,410100,천안지사,,,101,고속국도,00,본선,,
0010AV01240 ,328.05km,20200416,0010,경부선,400000,대전충남본부,410100,천안지사,,,101,고속국도,00,본선,,
0010AV01250 ,335.20km,20111229,0010,경부선,400000,대전충남본부,410100,천안지사,36.783810,127.174230,101,고속국도,00,본선,,
0010AV01270 ,345.20km,20121030,0010,경부선,400000,대전충남본부,410100,천안지사,36.869120,127.186950,101,고속국도,00,본선,,
0010AV01320 ,361.30km,20111226,0010,경부선,200000,수도권본부,210300,수원지사,37.005540,127.149950,101,고속국도,00,본선,,
0010AV01340 ,372.23km,20160113,0010,경부선,200000,수도권본부,210300,수원지사,37.099580,127.119220,101,고속국도,00,본선,,
0010AV01350 ,380.10km,20110201,0010,경부선,200000,수도권본부,210300,수원지사,37.160090,127.088610,101,고속국도,  ,,,
0010AV01365 ,384.50km,20111226,0010,경부선,200000,수도권본부,210300,수원지사,37.122000,127.054000,101,고속국도,00,본선,,
0010AV01380 ,388.00km,20110201,0010,경부선,200000,수도권본부,210300,수원지사,37.228630,127.105740,101,고속국도,  ,,,
0010AV01420 ,393.20km,20110201,0010,경부선,200000,수도권본부,210300,수원지사,37.275000,127.103760,101,고속국도,  ,,,
0010AV01450 ,397.40km,20110201,0010,경부선,200000,수도권본부,210300,수원지사,37.312840,127.103560,101,고속국도,  ,,,
0010AV01480 ,410.41km,20151229,0010,경부선,200000,수도권본부,210300,수원지사,37.422000,127.078270,101,고속국도,00,본선,,
0010AV01700 ,144.11km,20160104,0010,경부선,600000,대구경북본부,610100,구미지사,35.913610,128.488570,101,고속국도,00,본선,,
0010AV01800 ,262.60km,20160111,0010,경부선,400000,대전충남본부,410500,영동지사,36.332550,127.533970,101,고속국도,00,본선,,
0100AV00020 ,1.60km,20130103,0100,남해선(순천-부산),500000,광주전남본부,510300,순천지사,34.994660,127.494950,101,고속국도,  ,,,
0100AV00100 ,15.30km,20131224,0100,남해선(순천-부산),500000,광주전남본부,510300,순천지사,34.963200,127.626960,101,고속국도,00,본선,,
0100AV00200 ,40.70km,        ,0100,남해선(순천-부산),700000,부산경남본부,710400,진주지사,35.023110,127.856740,101,고속국도,00,본선,,
0100AV00310 ,66.80km,20120210,0100,남해선(순천-부산),700000,부산경남본부,710400,진주지사,35.123400,128.095790,101,고속국도,00,본선,,
0100AV00320 ,69.80km,20120210,0100,남해선(순천-부산),700000,부산경남본부,710400,진주지사,35.148640,128.104190,101,고속국도,00,본선,,
0100AV00330 ,73.50km,20120210,0100,남해선(순천-부산),700000,부산경남본부,710400,진주지사,35.165610,128.137000,101,고속국도,00,본선,,
0100AV00350 ,86.90km,20140109,0100,남해선(순천-부산),700000,부산경남본부,710400,진주지사,35.213300,128.263320,101,고속국도,00,본선,,
0100AV00390 ,108.00km,20120210,0100,남해선(순천-부산),700000,부산경남본부,710300,창원지사,35.278810,128.429170,101,고속국도,00,본선,,
0100AV00800 ,112.40km,20110201,0100,남해선(순천-부산),700000,부산경남본부,710300,창원지사,35.271480,128.475190,101,고속국도,  ,,,
0100AV01000 ,117.70km,20130104,0100,남해선(순천-부산),700000,부산경남본부,710300,창원지사,35.283520,128.515780,101,고속국도,00,본선,,
0100AV01300 ,128.50km,20130529,0100,남해선(순천-부산),700000,부산경남본부,710300,창원지사,35.278000,128.629760,101,고속국도,00,본선,,
