unitName,pageNo,numOfRows,unitCode,routeName,routeNo,xValue,yValue
남논산하,,,608 ,호남선A,025,,
풍세하,,,612 ,호남선A,025,,
남풍세,,,613 ,호남선A,025,,
남논산상,,,618 ,호남선A,025,,
중랑,,,004 ,세종포천선,029,,
북중랑,,,860 ,세종포천선,029,,
갈매동구릉,,,861 ,세종포천선,029,,
남별내,,,862 ,세종포천선,029,,
동의정부,,,863 ,세종포천선,029,,
민락,,,864 ,세종포천선,029,,
소흘,,,865 ,세종포천선,029,,
선단,,,866 ,세종포천선,029,,
포천,,,867 ,세종포천선,029,,
신북,,,869 ,세종포천선,029,,
옥정,,,870 ,세종포천선,029,,
양주,,,879 ,세종포천선,029,,
문의청남대,,,531 ,당진상주선,030,127.504529,36.527686
회인,,,532 ,당진상주선,030,127.608607,36.481468
보은,,,533 ,당진상주선,030,127.722665,36.453104
속리산,,,534 ,당진상주선,030,127.790383,36.459141
화서,,,535 ,당진상주선,030,127.958606,36.444920
남상주,,,536 ,당진상주선,030,128.143038,36.371712
면천,,,571 ,당진상주선,030,126.651897,36.823120
고덕,,,572 ,당진상주선,030,126.702002,36.757723
예산수덕사,,,573 ,당진상주선,030,126.779615,36.675416
신양,,,574 ,당진상주선,030,126.862915,36.590209
유구,,,575 ,당진상주선,030,126.970844,36.565458
마곡사,,,576 ,당진상주선,030,127.026066,36.496789
공주,,,577 ,당진상주선,030,127.127873,36.485286
서세종,,,578 ,당진상주선,030,127.190551,36.492847
